archive,file_name,file_size,archive_path
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip,Python-Machine-Learning-Bootcamp-main/Hyperparameters.ipynb,8026,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip,Python-Machine-Learning-Bootcamp-main/Hyperparameters.ipynb.zip,2042,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip,Python-Machine-Learning-Bootcamp-main/InertiaKMNIST.png,16161,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip,Python-Machine-Learning-Bootcamp-main/Isomap Practical.ipynb,591452,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip,Python-Machine-Learning-Bootcamp-main/Isomap Practical.ipynb.zip,443464,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip,Python-Machine-Learning-Bootcamp-main/KMean10ClustersMNIST.png,19912,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip,Python-Machine-Learning-Bootcamp-main/KMean20ClustersMNIST.png,25639,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip,Python-Machine-Learning-Bootcamp-main/KMean24ClustersMNIST.png,37227,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip,Python-Machine-Learning-Bootcamp-main/KMeans Practical.ipynb,166882,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip,Python-Machine-Learning-Bootcamp-main/KMeans Practical.ipynb.zip,109144,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip
19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip,Python-Machine-Learning-Bootcamp-main/KNN Images.ipynb,138534,E:\Source for Vectored Mats\19. Code Books and Courses\Machine Learning Projects for Beginners-prodkeyV67FD267A0B680\Python-Machine-Learning-Bootcamp-main.zip
